date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,603968,12.29,12.62,12.62,12.22,13938,20799621.0,3.28,3.61,0.44,0.68
2020-01-03,603968,12.52,12.49,12.59,12.39,15681,23598428.0,1.58,-1.03,-0.13,0.77
2020-01-06,603968,12.48,12.33,12.51,12.28,16859,25241255.0,1.84,-1.28,-0.16,0.82
2020-01-07,603968,12.34,12.41,12.5,12.32,13827,20687379.0,1.46,0.65,0.08,0.68
2020-01-08,603968,12.4,12.22,12.4,12.09,18932,27927098.0,2.5,-1.53,-0.19,0.93
2020-01-09,603968,12.23,12.33,12.4,12.23,12282,18294921.0,1.39,0.9,0.11,0.6
2020-01-10,603968,12.52,12.27,12.52,12.2,9283,13846383.0,2.6,-0.49,-0.06,0.45
2020-01-13,603968,12.2,12.32,12.37,12.15,9807,14553536.0,1.79,0.41,0.05,0.48
2020-01-14,603968,12.35,12.14,12.37,12.12,25524,37755957.0,2.03,-1.46,-0.18,1.25
2020-01-15,603968,12.14,12.03,12.17,11.94,15302,22375486.0,1.89,-0.91,-0.11,0.75
2020-01-16,603968,12.13,11.87,12.13,11.82,11412,16578636.0,2.58,-1.33,-0.16,0.56
2020-01-17,603968,11.92,11.73,11.99,11.64,11721,16858142.0,2.95,-1.18,-0.14,0.57
2020-01-20,603968,11.74,11.97,11.97,11.74,11107,16027152.0,1.96,2.05,0.24,0.54
2020-01-21,603968,12.01,13.06,13.43,11.87,70853,108847276.0,13.03,9.11,1.09,3.47
2020-01-22,603968,12.82,12.46,12.91,12.28,41717,62926135.0,4.82,-4.59,-0.6,2.04
2020-01-23,603968,12.54,12.12,12.66,12.05,27670,41557237.0,4.9,-2.73,-0.34,1.35
2020-02-03,603968,10.65,10.65,10.72,10.65,12660,16751360.0,0.58,-12.13,-1.47,0.62
2020-02-04,603968,9.34,10.41,10.51,9.34,30684,39328156.0,10.99,-2.25,-0.24,1.5
2020-02-05,603968,10.43,10.77,10.8,10.41,24050,31703498.0,3.75,3.46,0.36,1.18
2020-02-06,603968,10.71,10.99,11.15,10.44,19307,25964218.0,6.59,2.04,0.22,0.94
2020-02-07,603968,10.99,11.12,11.27,10.79,17409,23794308.0,4.37,1.18,0.13,0.85
2020-02-10,603968,11.12,11.17,11.28,11.01,18465,25375269.0,2.43,0.45,0.05,0.9
2020-02-11,603968,11.14,11.62,11.8,11.06,23386,32906321.0,6.62,4.03,0.45,1.14
2020-02-12,603968,11.61,11.52,11.66,11.38,20053,28262135.0,2.41,-0.86,-0.1,0.98
2020-02-13,603968,11.54,11.76,11.8,11.29,19989,28227307.0,4.43,2.08,0.24,0.98
2020-02-14,603968,11.67,11.62,11.75,11.54,11731,16661400.0,1.79,-1.19,-0.14,0.57
2020-02-17,603968,11.61,11.8,11.91,11.58,38148,54733776.0,2.84,1.55,0.18,1.87
2020-02-18,603968,11.74,11.82,11.87,11.54,32987,47123676.0,2.8,0.17,0.02,1.61
2020-02-19,603968,12.22,12.14,12.42,11.87,27851,40751817.0,4.65,2.71,0.32,1.36
2020-02-20,603968,13.22,12.57,13.22,12.3,32262,49082130.0,7.58,3.54,0.43,1.58
2020-02-21,603968,12.51,12.17,12.55,12.1,32860,48695442.0,3.58,-3.18,-0.4,1.61
2020-02-24,603968,12.1,12.32,12.42,11.89,24626,36080277.0,4.35,1.23,0.15,1.2
2020-02-25,603968,12.07,12.42,12.62,11.99,26181,39030756.0,5.11,0.81,0.1,1.28
2020-02-26,603968,12.32,12.4,12.4,12.04,18181,26866989.0,2.9,-0.16,-0.02,0.89
2020-02-27,603968,12.3,12.2,12.3,12.12,14905,22018296.0,1.45,-1.61,-0.2,0.73
2020-02-28,603968,11.87,11.68,11.99,11.36,25897,36726175.0,5.16,-4.26,-0.52,1.27
2020-03-02,603968,11.59,12.0,12.05,11.59,12574,18195535.0,3.94,2.74,0.32,0.61
2020-03-03,603968,12.07,12.04,12.39,11.95,39991,58778276.0,3.67,0.33,0.04,1.96
2020-03-04,603968,12.09,12.18,12.33,12.0,23536,34666985.0,2.74,1.16,0.14,1.15
2020-03-05,603968,12.19,12.26,12.35,12.1,53104,78561337.0,2.05,0.66,0.08,2.6
2020-03-06,603968,12.13,12.01,12.17,11.91,22534,32912014.0,2.12,-2.04,-0.25,1.1
2020-03-09,603968,11.67,11.37,11.88,11.37,23089,32688210.0,4.25,-5.33,-0.64,1.13
2020-03-10,603968,11.12,11.38,11.42,10.92,25228,34837277.0,4.4,0.09,0.01,1.23
2020-03-11,603968,11.37,11.26,11.54,11.25,15620,21849653.0,2.55,-1.05,-0.12,0.76
2020-03-12,603968,11.27,10.79,11.27,10.67,26899,36076955.0,5.33,-4.17,-0.47,1.32
2020-03-13,603968,10.21,10.57,10.71,9.92,23429,30079873.0,7.32,-2.04,-0.22,1.15
2020-03-16,603968,10.62,10.13,10.71,10.12,14063,18304109.0,5.58,-4.16,-0.44,0.69
2020-03-17,603968,10.2,10.22,10.3,9.92,12775,16245200.0,3.75,0.89,0.09,0.62
2020-03-18,603968,10.35,10.03,10.47,10.02,10910,14012471.0,4.4,-1.86,-0.19,0.53
2020-03-19,603968,9.95,10.1,10.14,9.87,12304,15485390.0,2.69,0.7,0.07,0.6
2020-03-20,603968,10.25,10.42,10.48,10.14,12187,15775473.0,3.37,3.17,0.32,0.6
2020-03-23,603968,10.22,10.06,10.4,10.06,11390,14575185.0,3.26,-3.45,-0.36,0.56
